date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2019-05-12,Fulham,Newcastle,0,4,38,0.53,1.83
2019-05-12,Liverpool,Wolves,2,0,38,1.59,0.83
2019-05-12,Spurs,Everton,2,2,38,0.82,1.93
2019-05-12,Man Utd,Cardiff,0,2,38,1.77,1.60
2019-05-12,Leicester,Chelsea,0,0,38,0.32,1.18
2019-05-12,Burnley,Arsenal,1,3,38,1.62,2.68
2019-05-12,Southampton,Huddersfield,1,1,38,0.88,0.80
2019-05-12,Crystal Palace,Bournemouth,5,3,38,2.67,1.77
2019-05-12,Brighton,Man City,1,4,38,0.56,2.08
2019-05-12,Watford,West Ham,1,4,38,1.93,2.99
2019-05-06,Man City,Leicester,1,0,37,1.02,0.50
2019-05-05,Chelsea,Watford,3,0,37,2.77,1.19
2019-05-05,Huddersfield,Man Utd,1,1,37,0.69,1.76
2019-05-05,Arsenal,Brighton,1,1,37,2.21,1.78
2019-05-04,Bournemouth,Spurs,1,0,37,2.08,0.67
2019-05-04,Wolves,Fulham,1,0,37,1.96,0.48
2019-05-04,West Ham,Southampton,3,0,37,1.87,0.41
2019-05-04,Cardiff,Crystal Palace,2,3,37,1.40,1.69
2019-05-04,Newcastle,Liverpool,2,3,37,1.21,1.38
2019-05-03,Everton,Burnley,2,0,37,1.65,0.44
2019-04-28,Leicester,Arsenal,3,0,36,3.44,0.56
2019-04-28,Burnley,Man City,0,1,36,0.08,2.20
2019-04-28,Man Utd,Chelsea,1,1,36,1.05,1.52
2019-04-27,Spurs,West Ham,0,1,36,1.27,0.93
2019-04-27,Fulham,Cardiff,1,0,36,0.49,1.04
2019-04-27,Southampton,Bournemouth,3,3,36,2.56,2.45
2019-04-27,Crystal Palace,Everton,0,0,36,0.24,1.08
2019-04-27,Watford,Wolves,1,2,36,0.84,2.28
2019-04-27,Brighton,Newcastle,1,1,36,1.13,0.41
2019-04-26,Liverpool,Huddersfield,5,0,36,3.35,0.15
2019-04-24,Wolves,Arsenal,3,1,35,0.92,0.88
2019-04-24,Man Utd,Man City,0,2,35,0.48,0.50
2019-04-23,Watford,Southampton,1,1,35,1.19,1.98
2019-04-23,Spurs,Brighton,1,0,35,0.94,0.13
2019-04-22,Chelsea,Burnley,2,2,35,1.20,0.74
2019-04-21,Everton,Man Utd,4,0,35,1.42,0.29
2019-04-21,Arsenal,Crystal Palace,2,3,35,1.44,2.39
2019-04-21,Cardiff,Liverpool,0,2,35,1.05,2.27
2019-04-20,Man City,Spurs,1,0,35,1.93,1.12
2019-04-20,Wolves,Brighton,0,0,35,2.43,0.11
2019-04-20,Huddersfield,Watford,1,2,35,1.02,1.01
2019-04-20,West Ham,Leicester,2,2,35,1.28,0.75
2019-04-20,Bournemouth,Fulham,0,1,35,2.65,2.45
2019-04-20,Newcastle,Southampton,3,1,35,1.15,1.19
2019-04-16,Brighton,Cardiff,0,2,34,0.55,0.77
2019-04-15,Watford,Arsenal,0,1,34,1.05,2.12
2019-04-14,Crystal Palace,Man City,1,3,34,0.30,2.68
2019-04-14,Liverpool,Chelsea,2,0,34,1.22,0.82
2019-04-13,Spurs,Huddersfield,4,0,34,2.60,0.92
2019-04-13,Fulham,Everton,2,0,34,1.55,1.21
2019-04-13,Burnley,Cardiff,2,0,34,2.66,0.82
2019-04-13,Southampton,Wolves,3,1,34,3.56,0.60
2019-04-13,Brighton,Bournemouth,0,5,34,0.19,2.59
2019-04-13,Man Utd,West Ham,2,1,34,2.48,1.33
2019-04-12,Leicester,Newcastle,0,1,34,0.82,0.88
2019-04-08,Chelsea,West Ham,2,0,33,2.09,0.44
2019-04-07,Everton,Arsenal,1,0,33,2.52,0.19
2019-04-06,Newcastle,Crystal Palace,0,1,33,0.88,0.85
2019-04-06,Huddersfield,Leicester,1,4,33,1.52,3.38
2019-04-06,Bournemouth,Burnley,1,3,33,1.13,1.30
2019-04-05,Southampton,Liverpool,1,3,33,0.67,1.88
2019-04-03,Chelsea,Brighton,3,0,32,2.92,0.41
2019-04-03,Spurs,Crystal Palace,2,0,32,2.41,0.53
2019-04-03,Man City,Cardiff,2,0,32,3.31,0.13
2019-04-02,Wolves,Man Utd,2,1,32,1.54,1.91
2019-04-02,Watford,Fulham,4,1,32,1.49,1.78
2019-04-01,Arsenal,Newcastle,2,0,32,0.98,0.04
2019-03-31,Cardiff,Chelsea,1,2,32,0.42,1.94
2019-03-31,Liverpool,Spurs,2,1,32,1.02,0.98
2019-03-30,Fulham,Man City,0,2,32,0.62,2.16
2019-03-30,Man Utd,Watford,2,1,32,1.85,1.26
2019-03-30,Leicester,Bournemouth,2,0,32,1.77,0.74
2019-03-30,Burnley,Wolves,2,0,32,0.54,0.37
2019-03-30,Crystal Palace,Huddersfield,2,0,32,2.66,0.87
2019-03-30,Brighton,Southampton,0,1,32,0.52,0.80
2019-03-30,West Ham,Everton,0,2,32,0.08,2.49
