date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2020-09-12,Fulham,Arsenal,0,3,1,0.12,2.02
2020-09-12,Crystal Palace,Southampton,1,0,1,1.30,1.18
2020-09-12,Liverpool,Leeds,4,3,1,2.95,0.25
2020-09-12,West Ham,Newcastle,0,2,1,0.81,1.55
2020-09-13,West Brom,Leicester,0,3,1,0.33,2.76
2020-09-13,Spurs,Everton,0,1,1,0.77,1.19
2020-09-14,Sheffield Utd,Wolves,0,2,1,0.89,1.51
2020-09-14,Brighton,Chelsea,1,3,1,1.35,1.19
2020-09-19,Everton,West Brom,5,2,2,3.89,0.29
2020-09-19,Leeds,Fulham,4,3,2,1.36,1.45
2020-09-19,Man Utd,Crystal Palace,1,3,2,1.03,1.79
2020-09-19,Arsenal,West Ham,2,1,2,1.24,1.93
2020-09-20,Southampton,Spurs,2,5,2,2.13,2.13
2020-09-20,Newcastle,Brighton,0,3,2,0.49,1.75
2020-09-20,Chelsea,Liverpool,0,2,2,0.85,2.10
2020-09-20,Leicester,Burnley,4,2,2,0.92,1.42
2020-09-21,Aston Villa,Sheffield Utd,1,0,2,0.75,0.79
2020-09-21,Wolves,Man City,1,3,2,0.68,1.94
2020-09-26,Brighton,Man Utd,2,3,3,2.78,1.47
2020-09-26,Crystal Palace,Everton,1,2,3,0.41,2.12
2020-09-26,West Brom,Chelsea,3,3,3,0.85,2.21
2020-09-26,Burnley,Southampton,0,1,3,0.32,0.66
2020-09-27,Sheffield Utd,Leeds,0,1,3,1.43,1.37
2020-09-27,Spurs,Newcastle,1,1,3,2.98,0.88
2020-09-27,Man City,Leicester,2,5,3,1.35,2.68
2020-09-27,West Ham,Wolves,4,0,3,2.86,0.36
2020-09-28,Fulham,Aston Villa,0,3,3,0.50,1.90
2020-09-28,Liverpool,Arsenal,3,1,3,2.56,1.10
2020-10-03,Chelsea,Crystal Palace,4,0,4,2.35,0.10
2020-10-03,Everton,Brighton,4,2,4,2.19,1.09
2020-10-03,Leeds,Man City,1,1,4,2.40,1.32
2020-10-03,Newcastle,Burnley,3,1,4,1.83,0.41
2020-10-04,Leicester,West Ham,0,3,4,0.43,1.90
2020-10-04,Southampton,West Brom,2,0,4,0.89,0.15
2020-10-04,Arsenal,Sheffield Utd,2,1,4,0.62,0.14
2020-10-04,Wolves,Fulham,1,0,4,0.84,0.91
2020-10-04,Man Utd,Spurs,1,6,4,0.82,3.09
2020-10-04,Aston Villa,Liverpool,7,2,4,2.88,1.55
