date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2023-08-11,Burnley,Man City,0,3,1,0.29,2.21
2023-08-12,Arsenal,Nott'm Forest,2,1,1,0.84,1.17
2023-08-12,Bournemouth,West Ham,1,1,1,1.37,1.06
2023-08-12,Brighton,Luton,4,1,1,4.12,1.46
2023-08-12,Everton,Fulham,0,1,1,2.73,1.48
2023-08-12,Sheffield Utd,Crystal Palace,0,1,1,0.49,2.0
2023-08-12,Newcastle,Aston Villa,5,1,1,3.46,1.91
2023-08-13,Brentford,Spurs,2,2,1,2.01,1.28
2023-08-13,Chelsea,Liverpool,1,1,1,1.28,1.27
2023-08-14,Man Utd,Wolves,1,0,1,1.46,2.27
2023-08-18,Nott'm Forest,Sheffield Utd,2,1,2,1.36,0.51
2023-08-19,Fulham,Brentford,0,3,2,0.46,3.8
2023-08-19,Liverpool,Bournemouth,3,1,2,3.09,1.36
2023-08-19,Wolves,Brighton,1,4,2,2.36,2.27
2023-08-19,Spurs,Man Utd,2,0,2,1.81,1.99
2023-08-19,Man City,Newcastle,1,0,2,1.09,0.29
2023-08-20,Aston Villa,Everton,4,0,2,3.12,0.68
2023-08-20,West Ham,Chelsea,3,1,2,1.8,2.47
2023-08-21,Crystal Palace,Arsenal,0,1,2,1.07,2.0
2023-08-25,Chelsea,Luton,3,0,3,2.1,0.43
2023-08-26,Bournemouth,Spurs,0,2,3,0.68,2.12
2023-08-26,Arsenal,Fulham,2,2,3,3.25,0.55
2023-08-26,Brentford,Crystal Palace,1,1,3,0.97,0.81
2023-08-26,Everton,Wolves,0,1,3,1.2,1.16
2023-08-26,Man Utd,Nott'm Forest,3,2,3,2.93,1.24
2023-08-26,Brighton,West Ham,1,3,3,1.56,3.33
2023-08-27,Burnley,Aston Villa,1,3,3,0.73,2.62
2023-08-27,Sheffield Utd,Man City,1,2,3,0.72,3.53
2023-08-27,Newcastle,Liverpool,1,2,3,1.99,0.95
2023-09-01,Luton,West Ham,1,2,4,1.43,1.07
2023-09-02,Sheffield Utd,Everton,2,2,4,1.27,2.59
2023-09-02,Brentford,Bournemouth,2,2,4,3.28,2.02
2023-09-02,Burnley,Spurs,2,5,4,1.35,2.27
2023-09-02,Chelsea,Nott'm Forest,0,1,4,2.14,0.71
2023-09-02,Man City,Fulham,5,1,4,2.26,1.85
2023-09-02,Brighton,Newcastle,3,1,4,1.5,1.32
2023-09-03,Crystal Palace,Wolves,3,2,4,2.17,1.34
2023-09-03,Liverpool,Aston Villa,3,0,4,2.48,0.65
2023-09-03,Arsenal,Man Utd,3,1,4,2.28,0.96
2023-09-16,Wolves,Liverpool,1,3,5,0.63,2.55
2023-09-16,Aston Villa,Crystal Palace,3,1,5,3.2,1.17
2023-09-16,Fulham,Luton,1,0,5,0.98,1.28
2023-09-16,Man Utd,Brighton,1,3,5,0.96,1.9
2023-09-16,Spurs,Sheffield Utd,2,1,5,1.87,0.58
2023-09-16,West Ham,Man City,1,3,5,0.94,3.68
2023-09-16,Newcastle,Brentford,1,0,5,1.43,0.53
