date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2022-08-05,Crystal Palace,Arsenal,0,2,1,1.13,1.34
2022-08-06,Fulham,Liverpool,2,2,1,1.19,2.19
2022-08-06,Bournemouth,Aston Villa,2,0,1,0.55,0.46
2022-08-06,Leeds,Wolves,2,1,1,0.83,1.03
2022-08-06,Newcastle,Nott'm Forest,2,0,1,1.74,0.22
2022-08-06,Spurs,Southampton,4,1,1,1.51,0.36
2022-08-06,Everton,Chelsea,0,1,1,0.51,1.80
2022-08-07,Leicester,Brentford,2,2,1,0.43,0.87
2022-08-07,Man Utd,Brighton,1,2,1,1.33,1.62
2022-08-07,West Ham,Man City,0,2,1,0.23,2.42
2022-08-13,Aston Villa,Everton,2,1,2,2.49,1.29
2022-08-13,Arsenal,Leicester,4,2,2,2.81,0.65
2022-08-13,Brighton,Newcastle,0,0,2,1.50,0.17
2022-08-13,Man City,Bournemouth,4,0,2,1.58,0.12
2022-08-13,Southampton,Leeds,2,2,2,1.32,1.87
2022-08-13,Wolves,Fulham,0,0,2,0.91,1.02
2022-08-13,Brentford,Man Utd,4,0,2,1.30,0.84
2022-08-14,Nott'm Forest,West Ham,1,0,2,1.84,1.95
2022-08-14,Chelsea,Spurs,2,2,2,1.72,1.48
2022-08-15,Liverpool,Crystal Palace,1,1,2,2.09,1.54
2022-08-20,Spurs,Wolves,1,0,3,1.37,0.64
2022-08-20,Crystal Palace,Aston Villa,3,1,3,2.72,0.75
2022-08-20,Everton,Nott'm Forest,1,1,3,1.34,0.86
2022-08-20,Fulham,Brentford,3,2,3,2.71,1.49
2022-08-20,Leicester,Southampton,1,2,3,0.23,1.16
2022-08-20,Bournemouth,Arsenal,0,3,3,0.20,1.60
2022-08-21,Leeds,Chelsea,3,0,3,2.07,0.65
2022-08-21,West Ham,Brighton,0,2,3,0.72,1.71
2022-08-21,Newcastle,Man City,3,3,3,2.07,3.43
2022-08-22,Man Utd,Liverpool,2,1,3,1.89,1.42
2022-08-27,Southampton,Man Utd,0,1,4,1.27,1.26
2022-08-27,Brentford,Everton,1,1,4,2.13,1.55
2022-08-27,Brighton,Leeds,1,0,4,1.50,1.07
2022-08-27,Chelsea,Leicester,2,1,4,1.63,1.83
2022-08-27,Liverpool,Bournemouth,9,0,4,4.54,0.17
2022-08-27,Man City,Crystal Palace,4,2,4,2.23,0.09
2022-08-27,Arsenal,Fulham,2,1,4,2.31,0.87
2022-08-28,Aston Villa,West Ham,0,1,4,0.28,0.31
2022-08-28,Wolves,Newcastle,1,1,4,1.06,1.81
2022-08-28,Nott'm Forest,Spurs,0,2,4,0.75,2.28
2022-08-30,Crystal Palace,Brentford,1,1,5,0.73,1.51
2022-08-30,Fulham,Brighton,2,1,5,1.00,1.64
2022-08-30,Southampton,Chelsea,2,1,5,1.35,1.41
2022-08-30,Leeds,Everton,1,1,5,0.98,1.10
2022-08-31,Arsenal,Aston Villa,2,1,5,2.62,0.28
2022-08-31,Bournemouth,Wolves,0,0,5,0.34,1.43
2022-08-31,Man City,Nott'm Forest,6,0,5,3.59,0.68
2022-08-31,West Ham,Spurs,1,1,5,1.42,0.68
2022-08-31,Liverpool,Newcastle,2,1,5,1.65,0.60
2022-09-01,Leicester,Man Utd,0,1,5,0.58,1.03
2022-09-03,Everton,Liverpool,0,0,6,1.30,1.30
2022-09-03,Brentford,Leeds,5,2,6,2.57,1.68
2022-09-03,Chelsea,West Ham,2,1,6,0.66,1.33
2022-09-03,Newcastle,Crystal Palace,0,0,6,2.72,0.86
2022-09-03,Nott'm Forest,Bournemouth,2,3,6,1.24,0.85
2022-09-03,Spurs,Fulham,2,1,6,2.50,0.36
2022-09-03,Wolves,Southampton,1,0,6,1.03,1.13
2022-09-03,Aston Villa,Man City,1,1,6,0.26,1.80
2022-09-04,Brighton,Leicester,5,2,6,2.55,1.00
2022-09-04,Man Utd,Arsenal,3,1,6,1.90,1.33
2022-09-16,Aston Villa,Southampton,1,0,8,1.26,0.20
2022-09-16,Nott'm Forest,Fulham,2,3,8,1.32,1.26
2022-09-17,Wolves,Man City,0,3,8,0.29,1.33
2022-09-17,Newcastle,Bournemouth,1,1,8,1.45,0.91
2022-09-17,Spurs,Leicester,6,2,8,1.86,1.49
2022-09-18,Brentford,Arsenal,0,3,8,0.50,1.23
2022-09-18,Everton,West Ham,1,0,8,0.37,0.61
2022-10-01,Arsenal,Spurs,3,1,9,2.32,1.40
2022-10-01,Bournemouth,Brentford,0,0,9,0.71,0.98
2022-10-01,Crystal Palace,Chelsea,1,2,9,0.66,1.17
2022-10-01,Fulham,Newcastle,1,4,9,0.64,4.37
2022-10-01,Liverpool,Brighton,3,3,9,2.01,2.21
2022-10-01,Southampton,Everton,1,2,9,1.83,1.87
2022-10-01,West Ham,Wolves,2,0,9,0.97,0.54
2022-10-02,Man City,Man Utd,6,3,9,2.81,1.60
2022-10-02,Leeds,Aston Villa,0,0,9,0.28,1.77
2022-10-03,Leicester,Nott'm Forest,4,0,9,1.17,1.14
2022-10-08,Bournemouth,Leicester,2,1,10,1.07,1.10
2022-10-08,Chelsea,Wolves,3,0,10,2.27,0.70
2022-10-08,Man City,Southampton,4,0,10,2.56,0.09
2022-10-08,Newcastle,Brentford,5,1,10,2.29,1.06
2022-10-08,Brighton,Spurs,0,1,10,0.84,0.72
2022-10-09,Crystal Palace,Leeds,2,1,10,1.54,1.00
2022-10-09,West Ham,Fulham,3,1,10,3.21,0.51
2022-10-09,Arsenal,Liverpool,3,2,10,2.64,0.72
2022-10-09,Everton,Man Utd,1,2,10,0.34,1.71
2022-10-10,Nott'm Forest,Aston Villa,1,1,10,0.21,0.61
2022-10-14,Brentford,Brighton,2,0,11,1.78,2.02
2022-10-15,Leicester,Crystal Palace,0,0,11,0.91,0.32
2022-10-15,Fulham,Bournemouth,2,2,11,1.51,1.52
2022-10-15,Wolves,Nott'm Forest,1,0,11,1.14,1.17
2022-10-15,Spurs,Everton,2,0,11,2.33,0.52
2022-10-16,Aston Villa,Chelsea,0,2,11,2.29,1.16
2022-10-16,Leeds,Arsenal,0,1,11,1.89,0.77
2022-10-16,Man Utd,Newcastle,0,0,11,1.32,0.74
2022-10-16,Southampton,West Ham,1,1,11,0.49,1.60
2022-10-16,Liverpool,Man City,1,0,11,1.87,0.85
2022-10-18,Brighton,Nott'm Forest,0,0,12,1.96,0.18
2022-10-18,Crystal Palace,Wolves,2,1,12,1.17,0.80
