tricode,full_name,season,team_id
ARS,Arsenal,1718,1
BOU,Bournemouth,1718,2
BHA,Brighton,1718,3
BUR,Burnley,1718,4
CHE,Chelsea,1718,5
CRY,Crystal Palace,1718,6
EVE,Everton,1718,7
HUD,Huddersfield,1718,8
LEI,Leicester,1718,9
LIV,Liverpool,1718,10
MCI,Man City,1718,11
MUN,Man Utd,1718,12
NEW,Newcastle,1718,13
SOU,Southampton,1718,14
STK,Stoke,1718,15
SWA,Swansea,1718,16
TOT,Spurs,1718,17
WAT,Watford,1718,18
WBA,West Brom,1718,19
WHU,West Ham,1718,20
