date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2019-10-27,Liverpool,Spurs,2,1,10,2.05,1.26
2019-10-27,Norwich,Man Utd,1,3,10,0.83,4.22
2019-11-02,Bournemouth,Man Utd,1,0,11,1.75,0.60
2019-11-02,Arsenal,Wolves,1,1,11,0.96,1.41
2019-11-02,Aston Villa,Liverpool,1,2,11,0.69,2.23
2019-11-02,Brighton,Norwich,2,0,11,2.48,0.43
2019-11-02,Man City,Southampton,2,1,11,3.14,0.84
2019-11-02,Sheffield Utd,Burnley,3,0,11,2.42,0.67
2019-11-02,West Ham,Newcastle,2,3,11,1.44,1.81
2019-11-02,Watford,Chelsea,1,2,11,1.38,2.04
2019-11-03,Crystal Palace,Leicester,0,2,11,0.41,0.92
2019-11-03,Everton,Spurs,1,1,11,1.08,0.23
2019-11-08,Norwich,Watford,0,2,12,0.58,1.27
2019-11-09,Chelsea,Crystal Palace,2,0,12,3.07,0.45
2019-11-09,Burnley,West Ham,3,0,12,2.26,0.44
2019-11-09,Newcastle,Bournemouth,2,1,12,2.18,1.80
2019-11-09,Southampton,Everton,1,2,12,0.69,1.95
2019-11-09,Spurs,Sheffield Utd,1,1,12,1.41,0.86
2019-11-09,Leicester,Arsenal,2,0,12,1.28,0.90
2019-11-10,Man Utd,Brighton,3,1,12,3.41,1.06
2019-11-10,Wolves,Aston Villa,2,1,12,1.96,0.44
2019-11-10,Liverpool,Man City,3,1,12,1.24,1.38
2019-11-23,West Ham,Spurs,2,3,13,0.62,2.06
2019-11-23,Arsenal,Southampton,2,2,13,1.50,2.43
2019-11-23,Bournemouth,Wolves,1,2,13,0.79,1.19
2019-11-23,Brighton,Leicester,0,2,13,0.73,3.28
2019-11-23,Crystal Palace,Liverpool,1,2,13,0.96,1.54
2019-11-23,Everton,Norwich,0,2,13,0.76,1.69
2019-11-23,Watford,Burnley,0,3,13,0.84,2.49
2019-11-23,Man City,Chelsea,2,1,13,1.16,0.77
2019-11-24,Sheffield Utd,Man Utd,3,3,13,1.46,1.24
2019-11-25,Aston Villa,Newcastle,2,0,13,2.52,0.65
2019-11-30,Newcastle,Man City,2,2,14,0.19,2.28
2019-11-30,Burnley,Crystal Palace,0,2,14,1.73,0.88
2019-11-30,Chelsea,West Ham,0,1,14,2.55,1.05
2019-11-30,Liverpool,Brighton,2,1,14,1.28,0.81
2019-11-30,Spurs,Bournemouth,3,2,14,2.74,0.96
2019-11-30,Southampton,Watford,2,1,14,1.84,0.47
2019-12-01,Norwich,Arsenal,2,2,14,0.76,1.83
2019-12-01,Wolves,Sheffield Utd,1,1,14,1.19,1.38
2019-12-01,Leicester,Everton,2,1,14,2.10,1.17
2019-12-01,Man Utd,Aston Villa,2,2,14,1.73,1.21
