date,home_team,away_team,home_score,away_score,gameweek,home_xg,away_xg
2021-08-13,Brentford,Arsenal,2,0,1,1.76,0.96
2021-08-14,Man Utd,Leeds,5,1,1,1.54,0.53
2021-08-14,Burnley,Brighton,1,2,1,1.68,1.58
2021-08-14,Chelsea,Crystal Palace,3,0,1,1.11,0.30
2021-08-14,Everton,Southampton,3,1,1,2.23,0.54
2021-08-14,Leicester,Wolves,1,0,1,0.62,1.24
2021-08-14,Watford,Aston Villa,3,2,1,1.26,1.06
2021-08-14,Norwich,Liverpool,0,3,1,1.25,1.67
2021-08-15,Newcastle,West Ham,2,4,1,1.57,2.81
2021-08-15,Spurs,Man City,1,0,1,0.99,1.97
2021-08-21,Liverpool,Burnley,2,0,2,2.47,0.65
2021-08-21,Aston Villa,Newcastle,2,0,2,1.11,0.59
2021-08-21,Crystal Palace,Brentford,0,0,2,0.57,0.67
2021-08-21,Leeds,Everton,2,2,2,0.90,1.74
2021-08-21,Man City,Norwich,5,0,2,2.28,0.02
2021-08-21,Brighton,Watford,2,0,2,1.66,0.38
2021-08-22,Southampton,Man Utd,1,1,2,0.55,2.11
2021-08-22,Wolves,Spurs,0,1,2,1.41,1.61
2021-08-22,Arsenal,Chelsea,0,2,2,0.59,3.40
2021-08-23,West Ham,Leicester,4,1,2,2.14,0.59
2021-08-28,Man City,Arsenal,5,0,3,4.18,0.11
2021-08-28,Aston Villa,Brentford,1,1,3,0.40,1.06
2021-08-28,Brighton,Everton,0,2,3,0.66,1.45
2021-08-28,Newcastle,Southampton,2,2,3,1.11,3.23
2021-08-28,Norwich,Leicester,1,2,3,1.35,1.19
2021-08-28,West Ham,Crystal Palace,2,2,3,1.35,1.57
2021-08-28,Liverpool,Chelsea,1,1,3,1.95,0.54
2021-08-29,Burnley,Leeds,1,1,3,1.60,1.42
2021-08-29,Spurs,Watford,1,0,3,0.86,0.56
2021-08-29,Wolves,Man Utd,0,1,3,1.68,0.88
2021-09-11,Crystal Palace,Spurs,3,0,4,2.70,0.07
2021-09-11,Arsenal,Norwich,1,0,4,2.51,0.54
2021-09-11,Brentford,Brighton,0,1,4,0.68,0.27
2021-09-11,Leicester,Man City,0,1,4,0.75,2.57
2021-09-11,Man Utd,Newcastle,4,1,4,2.59,0.58
2021-09-11,Southampton,West Ham,0,0,4,0.65,0.68
2021-09-11,Watford,Wolves,0,2,4,0.17,2.39
2021-09-11,Chelsea,Aston Villa,3,0,4,1.14,1.10
2021-09-12,Leeds,Liverpool,0,3,4,0.61,4.11
2021-09-13,Everton,Burnley,3,1,4,1.69,1.70
2021-09-17,Newcastle,Leeds,1,1,5,1.10,1.34
2021-09-18,Wolves,Brentford,0,2,5,0.96,2.18
2021-09-18,Burnley,Arsenal,0,1,5,0.72,1.03
2021-09-18,Liverpool,Crystal Palace,3,0,5,2.59,0.60
2021-09-18,Man City,Southampton,0,0,5,1.14,0.46
2021-09-18,Norwich,Watford,1,3,5,0.73,2.27
2021-09-18,Aston Villa,Everton,3,0,5,0.73,0.71
2021-09-19,Brighton,Leicester,2,1,5,1.38,1.17
2021-09-19,West Ham,Man Utd,1,2,5,1.56,1.77
2021-09-19,Spurs,Chelsea,0,3,5,0.66,2.42
2021-09-25,Chelsea,Man City,0,1,6,0.18,1.58
2021-09-25,Man Utd,Aston Villa,0,1,6,1.80,1.47
2021-09-25,Everton,Norwich,2,0,6,2.12,0.75
2021-09-25,Leeds,West Ham,1,2,6,1.12,1.86
2021-09-25,Leicester,Burnley,2,2,6,2.02,0.40
2021-09-25,Watford,Newcastle,1,1,6,0.84,2.36
2021-09-25,Brentford,Liverpool,3,3,6,2.75,2.11
2021-09-26,Southampton,Wolves,0,1,6,0.85,0.85
2021-09-26,Arsenal,Spurs,3,1,6,1.35,0.92
2021-09-27,Crystal Palace,Brighton,1,1,6,1.28,0.61
2021-10-02,Man Utd,Everton,1,1,7,0.98,1.24
2021-10-02,Burnley,Norwich,0,0,7,0.55,0.63
2021-10-02,Chelsea,Southampton,3,1,7,3.54,1.43
2021-10-02,Leeds,Watford,1,0,7,1.47,0.18
2021-10-02,Wolves,Newcastle,2,1,7,1.08,0.81
2021-10-02,Brighton,Arsenal,0,0,7,1.04,0.34
2021-10-03,Crystal Palace,Leicester,2,2,7,1.09,0.98
2021-10-03,Spurs,Aston Villa,2,1,7,1.67,1.00
2021-10-03,West Ham,Brentford,1,2,7,1.28,1.22
2021-10-03,Liverpool,Man City,2,2,7,0.89,0.97
2021-10-16,Watford,Liverpool,0,5,8,0.28,3.42
2021-10-16,Aston Villa,Wolves,2,3,8,1.13,2.05
2021-10-16,Leicester,Man Utd,4,2,8,2.77,0.96
2021-10-16,Man City,Burnley,2,0,8,2.02,1.01
2021-10-16,Norwich,Brighton,0,0,8,1.08,1.10
2021-10-16,Southampton,Leeds,1,0,8,1.71,0.42
2021-10-16,Brentford,Chelsea,0,1,8,1.52,0.23
2021-10-17,Everton,West Ham,0,1,8,0.80,1.90
2021-10-17,Newcastle,Spurs,2,3,8,0.60,1.45
2021-10-18,Arsenal,Crystal Palace,2,2,8,1.63,0.46
2021-10-22,Arsenal,Aston Villa,3,1,9,3.27,1.32
2021-10-23,Chelsea,Norwich,7,0,9,2.90,0.25
2021-10-23,Crystal Palace,Newcastle,1,1,9,2.11,0.67
2021-10-23,Everton,Watford,2,5,9,1.72,2.90
2021-10-23,Leeds,Wolves,1,1,9,1.60,0.80
2021-10-23,Southampton,Burnley,2,2,9,1.33,0.63
2021-10-23,Brighton,Man City,1,4,9,1.09,3.34
2021-10-24,Brentford,Leicester,1,2,9,1.09,0.94
2021-10-24,West Ham,Spurs,1,0,9,1.62,0.63
2021-10-24,Man Utd,Liverpool,0,5,9,1.27,3.78
2021-10-30,Leicester,Arsenal,0,2,10,1.86,1.03
2021-10-30,Burnley,Brentford,3,1,10,2.55,0.78
2021-10-30,Liverpool,Brighton,2,2,10,1.31,1.41
2021-10-30,Man City,Crystal Palace,0,2,10,0.61,0.98
2021-10-30,Newcastle,Chelsea,0,3,10,0.15,2.02
2021-10-30,Watford,Southampton,0,1,10,0.80,1.78
2021-10-30,Spurs,Man Utd,0,3,10,1.08,1.30
2021-10-31,Norwich,Leeds,1,2,10,0.62,1.09
2021-10-31,Aston Villa,West Ham,1,4,10,0.64,2.49
2021-11-01,Wolves,Everton,2,1,10,1.58,1.59
2021-11-05,Southampton,Aston Villa,1,0,11,0.84,0.50
2021-11-06,Man Utd,Man City,0,2,11,0.71,1.91
2021-11-06,Brentford,Norwich,1,2,11,2.61,1.08
2021-11-06,Chelsea,Burnley,1,1,11,2.81,0.63
2021-11-06,Crystal Palace,Wolves,2,0,11,2.48,0.24
2021-11-06,Brighton,Newcastle,1,1,11,1.34,0.21
2021-11-07,Arsenal,Watford,1,0,11,1.39,0.46
2021-11-07,Everton,Spurs,0,0,11,0.56,0.75
2021-11-07,Leeds,Leicester,1,1,11,1.84,0.74
2021-11-07,West Ham,Liverpool,3,2,11,1.17,1.36
2021-11-20,Leicester,Chelsea,0,3,12,0.47,2.40
2021-11-20,Aston Villa,Brighton,2,0,12,1.00,0.54
